JetBlue Airways,12,46,2017-01-20 16:00:03,2073339,108943,b'1-800-JETBLUE',b'https://twitter.com/JetBlue/status/822473776122077185/photo/1',b'Now arriving in the Spice Isle: Mint. Enjoy our fresh take on premium travel between JFK and Grenada starting 1/21. https://t.co/zwCpln4t8L',,YES,a cat sitting on a bench in a garden
JetBlue Airways,5,25,2017-01-19 16:00:13,2073339,108943,b'1-800-JETBLUE',b'https://twitter.com/JetBlue/status/822111429985611776/photo/1',b'Resolve to lose weight? Go to #NewOrleans! (Huh??!) #GoalToGo #NOLA\n https://t.co/IbRz819GyI https://t.co/2PJUB1G15Z',,YES,a person is on a beach with a boat
JetBlue Airways,12,23,2017-01-17 17:00:04,2073339,108943,b'1-800-JETBLUE',b'https://twitter.com/JetBlue/status/821401713420562432/photo/1',b'We\xe2\x80\x99re giving 5 lucky fans a chance to win the ultimate @NHLBruins package! Find out how: https://t.co/3eREQEaKnR https://t.co/8y9XKPjGGp',"MAKE IT YOUR ""D
GOAL To SCORE.

to bruins com/jetblue

has n .
jetBlue‘ l",YES,a building with a clock on the side of it
JetBlue Airways,17,44,2017-01-16 15:10:38,2073339,108943,b'1-800-JETBLUE',b'https://twitter.com/JetBlue/status/821011785700569088/photo/1',"b'Happy Martin Luther King, Jr. Day! \n\nhttps://t.co/3mlwN7bkqa https://t.co/PoUYk68jwd'","—
Let your dreams soar.

Today, and every day, we honor Martin Luther King, Jr.",YES,a sign that says UNK UNK on the side of it
JetBlue Airways,56,192,2017-01-15 04:36:36,2073339,108943,b'1-800-JETBLUE',b'https://twitter.com/JetBlue/status/820489841146085376/photo/1',b'Flying even higher than usual today. #Patriots #DriveForFive \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89 https://t.co/dEhplOHn2O',NO_IMAGE,NO,a sign that says UNK UNK on the side of it
JetBlue Airways,14,37,2017-01-12 16:00:43,2073339,108943,b'1-800-JETBLUE',b'https://twitter.com/JetBlue/status/819574840298352641/photo/1',b'Up your photography AND passport game in 2017. #GoalToGo \xf0\x9f\x93\xb7: @bennettfilm https://t.co/mbyiBSYf6J https://t.co/Nyv1uAmmTw',,YES
JetBlue Airways,23,41,2017-01-10 15:00:11,2073339,108943,b'1-800-JETBLUE',b'https://twitter.com/JetBlue/status/818834830716649474/photo/1',b'Savings so nice we had to do it twice. Just book by 1/11. Blackout dates+Restr\n\nhttps://t.co/Sx7iSbHxGs https://t.co/jgSw2H4aQ2',"7F

_ %

THE BIG

$
WINTER SALE. * 349'“

¥ * §lé",YES,a man is riding a horse in the desert
Audi,103,463,2017-01-25 19:25:01,1652807,13020,"b'Herndon, VA'",b'https://twitter.com/Audi/status/824337297072148482/photo/1',b'This would be a good ending to a 90s action movie starring the twin-turbocharged #AudiS6. https://t.co/vBIUYjFmbS',,YES,a street sign is shown in front of a building
Audi,77,456,2017-01-25 00:41:30,1652807,13020,"b'Herndon, VA'",b'https://twitter.com/Audi/status/824054553477873665/photo/1',"b""As dependable as #Seattle's weather isn't. #AudiQ7 Photo: @AudiSeattle https://t.co/q8yDUeMyeS""",,YES,a car parked on the side of the road
Audi,123,556,2017-01-24 01:09:31,1652807,13020,"b'Herndon, VA'",b'https://twitter.com/Audi/status/823699217294229504/photo/1',b'5-star accommodations no matter where you end up. #AudiA3 https://t.co/nOhHTspQIO',,YES,a car parked on the side of the road
